NAME	POS	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	REB	AST	STL	BLK	TO	DD2	TD3
Jarace Walker ind	F	33	10.3	3.6	1.4	3.3	40.9	0.7	1.7	40	0.2	0.3	88.9	1.9	1.2	0.5	0.3	0.5	0	0
Collin Gillespie den	G	24	9.4	3.6	1.3	2.9	46.4	0.6	1.6	39.5	0.3	0.5	66.7	0.9	1.1	0.5	0	0.6	0	0
Lindy Waters III OKC	F	38	7.4	3.6	1.3	2.7	47.1	1	2.2	43.5	0.1	0.1	100	1.1	0.6	0.1	0.2	0.2	0	0
James Bouknight cha	SG	14	5.8	3.6	1.3	2.9	43.9	0.9	2.1	43.3	0.1	0.1	50	0.6	0.4	0.1	0.1	0.1	0	0
Gui Santos GS	F	23	8.3	3.6	1.2	2.4	50.9	0.4	1.2	37	0.7	0.7	94.1	2.1	0.6	0.2	0.1	0.3	0	0
Jordan McLaughlin min	PG	56	11.2	3.5	1.3	2.6	48.3	0.8	1.6	47.2	0.2	0.3	72.2	1.3	2	0.6	0.1	0.3	0	0
Onuralp Bitim chi	SF	23	11.7	3.5	1.4	3.7	38.1	0.5	1.9	27.3	0.2	0.2	80	1.4	0.6	0.1	0.1	0.4	0	0
Theo Maledon cha/phx	PG	17	12.5	3.5	1.2	4.1	28.6	0.3	1.8	16.7	0.8	0.9	93.3	1.4	1.6	0.4	0	1.1	0	0
Yuta Watanabe mem/phx	SF	34	13.6	3.4	1.2	3.4	35.3	0.7	2.5	29.4	0.3	0.5	58.8	1.6	0.4	0.4	0.2	0.6	0	0
Moses Brown por	C	22	9.1	3.4	1.5	3	50.8	0	0	0	0.4	1.4	29	3.9	0.3	0.2	0.3	0.5	0	0
Wenyen Gabriel MEM	F	5	16.2	3.4	1.6	4.4	36.4	0.2	1.2	16.7	0	1	0	5	0.6	0.4	0.4	1.6	0	0
Buddy Boeheim det	F	10	8.4	3.4	0.9	2.9	31	0.8	2.5	32	0.8	1	80	1	0.3	0	0.1	0	0	0
Ryan Rollins mil/wsh	G	13	6	3.4	1.1	2.1	51.9	0.2	0.3	75	1	1.3	76.5	1	1.1	0.8	0.2	0.6	0	0
Jalen McDaniels tor	PF	50	10.8	3.4	1.3	3.8	34.4	0.2	1.4	16.9	0.5	0.7	73	1.6	0.7	0.4	0.1	0.6	0	0
Nassir Little phx	SF	45	10.2	3.4	1.3	2.8	46	0.5	1.6	30	0.4	0.4	85	1.7	0.5	0.2	0.2	0.3	0	0
Marques Bolden mil/cha	C	11	11	3.4	1.5	2.3	68	0	0.1	0	0.3	0.4	75	3.1	0.4	0.3	0.6	0.3	0	0
Jaden Springer bos/phi	G	49	10.3	3.3	1.2	3	39.9	0.2	1	20.8	0.7	0.9	83.3	1.6	0.9	0.7	0.3	0.7	0	0
Charles Bassey SA	C	19	10.8	3.3	1.5	2.1	72.5	0	0.1	0	0.3	0.3	83.3	4	1.1	0.4	0.9	0.8	0	0
Micah Potter Utah	C	16	11.6	3.3	1.2	2.5	47.5	0.6	1.3	42.9	0.4	0.5	75	2.7	0.4	0.3	0.4	0.3	0	0
Tristan Thompson cle	C	49	11.2	3.3	1.5	2.4	61.3	0	0	0	0.3	1.1	28.8	3.6	1	0.2	0.3	0.6	1	0
Garrett Temple tor	SF	27	10.7	3.3	1.1	2.9	37.2	0.4	1.5	30	0.7	0.8	81.8	1.7	1	0.4	0.1	0.5	0	0
Oscar Tshiebwe ind	C	8	5.3	3.3	1.3	2.5	50	0	0	0	0.8	1	75	2	0.3	0.3	0.1	0	0	0
Terquavion Smith phi	G	16	5.3	3.3	1.1	2.9	39.1	0.8	2.2	37.1	0.2	0.3	60	0.3	0.8	0.5	0	0.4	0	0
A.J. Lawson DAL	G	42	7.4	3.2	1.3	2.9	44.6	0.3	1.2	26	0.4	0.5	65.2	1.2	0.5	0.2	0.1	0.3	0	0
Ish Smith cha	PG	43	17.2	3.2	1.5	3.7	41.8	0.1	0.2	50	0.1	0.1	75	1.8	3.4	0.4	0.1	1.1	0	0
Boban Marjanovic HOU	C	14	5.1	3.2	1.3	2.4	52.9	0	0.1	0	0.6	1	64.3	2.3	0.4	0.1	0.1	0.4	0	0
Kira Lewis Jr. no/utah/tor	PG	28	9.4	3.2	1.2	3.3	37	0.1	1.2	12.1	0.6	0.7	85	0.9	1.3	0.3	0.1	0.5	0	0
Brandon Williams DAL	G	17	6.6	3.2	1.2	3.2	37	0.2	0.9	20	0.6	1	64.7	0.8	1	0.1	0.1	0.4	0	0
Gabe Vincent lal	PG	11	19.8	3.1	1.4	4.5	30.6	0.3	2.5	10.7	0.1	0.2	50	0.8	1.9	0.8	0	0.5	0	0
Wesley Matthews atl	SG	36	11.5	3.1	0.9	2.7	35.1	0.7	1.9	34.8	0.5	0.7	75	1.5	0.6	0.4	0.3	0.2	0	0
Johnny Davis WSH	G	50	12.3	3	1.2	3.1	40.3	0.3	0.8	35	0.3	0.5	58.3	1.4	0.6	0.4	0.2	0.3	0	0
Olivier-Maxence Prosper dal	F	40	8.4	3	1	2.6	38.5	0.3	1.1	28.9	0.7	1	68.3	2	0.6	0.2	0.1	0.2	0	0
Mike Muscala OKC/WSH/DET	C	53	11.3	3	1.1	2.9	35.9	0.5	1.8	29.2	0.3	0.5	68	2.4	0.7	0.2	0.2	0.4	0	0
Saben Lee phx	G	24	7.7	3	0.8	2.3	36.4	0.1	0.7	12.5	1.2	1.6	74.4	1.3	1.3	0.3	0.1	0.3	0	0
Jeremiah Robinson-Earl no	F	39	8.6	2.9	1.2	2.4	47.4	0.3	1	33.3	0.3	0.4	75	1.9	0.5	0.3	0.1	0.4	0	0
Nate Williams HOU	G	22	5.9	2.9	1.2	2.3	54	0.1	0.2	40	0.3	0.6	53.8	1	0.3	0.2	0	0.2	0	0
Trevelin Queen orl	SG	14	11.8	2.9	1	2.7	36.8	0.2	1.2	17.6	0.6	0.9	75	1.4	1.3	0.5	0.4	0.5	0	0
Henri Drell CHI	F	4	7.5	2.8	1	2.5	40	0.5	1.5	33.3	0.3	0.5	50	1	1	0.5	0.3	0.5	0	0
D.J. Carton tor	G	4	9	2.8	0.8	2	37.5	0.3	1	25	1	1.3	80	1	0.8	0.3	0	0.3	0	0
Orlando Robinson mia	C	36	8.4	2.8	1	2	50	0.2	0.4	53.3	0.5	0.7	76	2.3	0.9	0.2	0.2	0.5	1	0
Damian Jones cle	C	39	6.9	2.7	1.1	1.8	59.7	0.1	0.4	21.4	0.5	0.5	85.7	1.6	0.4	0.2	0.3	0.3	0	0
Emoni Bates cle	F	15	8.9	2.7	1	3.3	30.6	0.7	2.2	30.3	0.1	0.3	25	0.9	0.7	0.1	0.1	0.5	0	0
Malik Williams tor	C	7	15.3	2.7	1.3	4.9	26.5	0.1	0.7	20	0	0.3	0	5.4	0.3	0.4	0.6	0.4	0	0
Leaky Black cha	F	26	10.9	2.7	1	2	48.1	0.3	0.8	45	0.4	0.6	66.7	1.8	0.9	0.3	0.4	0.2	0	0
Moussa Diabate lac	F	11	5.8	2.6	0.9	1.7	52.6	0	0	0	0.8	1.3	64.3	2.2	0.4	0.5	0.1	0.2	0	0
Otto Porter Jr. UTAH/TOR	SF	15	11.6	2.6	0.9	2.2	42.4	0.5	1.5	34.8	0.2	0.2	100	1.9	0.5	0.3	0.3	0.1	0	0
Timmy Allen mem	F	5	25	2.6	1.2	4.6	26.1	0	1.4	0	0.2	0.4	50	3.4	1	0.8	0	0.4	0	0
Markieff Morris DAL	PF	26	8.3	2.5	0.9	2.6	33.8	0.6	1.6	35.7	0.2	0.2	83.3	1.5	0.6	0.2	0.1	0.5	0	0
Dylan Windier atl/lal/ny	G	17	6.4	2.5	0.9	1.8	50	0.8	1.6	48.1	0	0	0	0.9	0.6	0.1	0	0.1	0	0
Furkan Korkmaz PHI	SG	35	8.6	2.5	0.9	2.2	39.5	0.4	1.1	35	0.4	0.6	70	0.9	0.7	0.4	0.1	0.3	0	0
Alex Len sac	C	48	9.3	2.5	1	1.7	61.7	0	0.1	0	0.4	0.7	58.8	2.7	1	0.2	0.7	0.6	0	0
Greg Brown III dal	PF	6	6.7	2.5	0.8	1.8	45.5	0.2	0.5	33.3	0.7	1.5	44.4	1.5	0.7	0	0.7	0.7	0	0
Alex Fudge lal/dal	F	6	6.7	2.5	1	2.5	40	0.2	0.8	20	0.3	0.3	100	0.8	0	0.5	0	0.3	0	0
Joe Harris det	SF	16	10.6	2.4	0.9	2.4	35.9	0.6	1.9	33.3	0.1	0.1	50	0.8	0.6	0.2	0.1	0.3	0	0
Harry Giles III lal/bkn	F	23	4.3	2.4	1	2.2	46	0.1	0.6	21.4	0.3	0.6	53.8	1.3	0.3	0.1	0.1	0.3	0	0
Cory Joseph GS	PG	26	11.4	2.4	0.9	2.5	35.9	0.5	1.6	31	0.2	0.3	57.1	1.2	1.6	0.2	0.1	0.5	0	0
AJ Griffin ATL	F	20	8.6	2.4	0.9	3.1	29	0.5	2	25.6	0.1	0.1	100	0.9	0.3	0.1	0.1	0.4	0	0
Mouhamadou Gueye tor	F	11	10.9	2.4	1	3.5	28.9	0	0.3	0	0.4	0.8	44.4	2.1	0.5	0.3	1.6	1.1	0	0
Xavier Moon lac	G	14	8.5	2.4	1.1	3.3	32.6	0.1	1.2	11.8	0.1	0.1	50	1.3	1.5	0.2	0.2	0.4	0	0
Jamaree Bouyea por/sa	G	9	10.6	2.3	1.1	3.1	35.7	0.1	1	11.1	0	0	0	2.1	1.2	0.1	0	1	0	0
Cole Swider MIA	F	18	4.8	2.3	0.8	2.1	39.5	0.6	1.7	33.3	0.1	0.1	100	0.4	0.3	0.1	0.1	0.4	0	0
Dereon Seabron no	G	6	9.2	2.3	0.7	2.2	30.8	0.2	0.3	50	0.8	1	83.3	1.2	0.8	0.3	0.2	0	0	0
Isaiah Mobley cle	F	10	7.2	2.3	1	2.4	41.7	0.3	1	30	0	0.1	0	1	0.6	0.2	0	0.2	0	0
Amari Bailey cha	G	10	6.5	2.3	0.8	2.4	33.3	0.1	0.8	12.5	0.6	0.7	85.7	0.9	0.7	0.3	0	0.4	0	0
Chuma Okeke ORL	F	47	9.2	2.3	0.9	2.4	35.7	0.5	1.7	28	0.1	0.1	57.1	1.7	0.4	0.2	0.1	0.3	0	0
Olivier Sarr okc	C	15	6.5	2.3	0.7	1.3	57.9	0.1	0.4	33.3	0.7	1	66.7	2.4	0.1	0	0.5	0.2	0	0
Julian Phillips chi	F	40	8.1	2.2	0.8	1.9	41.6	0.3	1	31.6	0.3	0.5	68.4	0.9	0.3	0.2	0.2	0.3	0	0
Nate Hinton hou	G	15	5	2.2	0.7	1.7	42.3	0.5	0.9	50	0.3	0.3	80	1.5	0.7	0.2	0.1	0.2	0	0
Andre Jackson Jr. mil	G	57	10	2.2	0.9	1.8	50	0.3	0.8	37	0.1	0.2	72.7	2	0.9	0.3	0.1	0.5	1	0
Udoka Azubuike phx	C	16	7.1	2.2	1	1.4	69.6	0	0	0	0.2	0.8	23.1	2	0.2	0.1	0.4	0.3	1	0
Trent Forrest ATL	G	38	10.9	2.2	0.9	2.4	37.8	0.1	0.3	20	0.3	0.4	76.5	1.3	2.4	0.3	0.1	0.5	0	0
Reggie Bullock Jr. hou	SF	44	9.5	2.2	0.8	1.9	41.5	0.6	1.5	40.3	0	0	100	1.7	0.3	0.3	0.1	0.2	0	0
Colby Jones sac	G	30	6.4	2.1	0.9	2.4	39.4	0.1	0.7	9.1	0.2	0.4	54.5	1.3	0.7	0.2	0.2	0.3	0	0
Ish Wainright por/phx	F	11	5.6	2.1	0.6	2.2	29.2	0.6	1.8	35	0.2	0.2	100	1.3	0.1	0.4	0.1	0.2	0	0
Jericho Sims NY	C	45	13	2	0.8	1.2	69.1	0	0	0	0.4	0.5	66.7	3.3	0.6	0.2	0.4	0.4	0	0
Kobe Brown LAC	G	44	9	2	0.8	2	41.1	0.3	1.1	29.2	0	0	50	1.4	0.6	0.3	0.1	0.2	0	0
Mamadi Diakite sa/ny	F	6	4	2	0.7	1	66.7	0	0.2	0	0.7	1	66.7	0.7	0.3	0.2	0.2	0.2	0	0
Ty Jerome CLE	SG	2	7.5	2	1	2	50	0	0.5	0	0	0	0	0.5	1.5	0	0	0.5	0	0
Jordan Ford SAC	G	6	3.7	2	0.7	1.2	57.1	0.3	0.5	66.7	0.3	0.3	100	0.3	0.3	0	0	0.2	0	0
Kevon Harris ORL	G	2	3	2	1	1.5	66.7	0	0	0	0	0	0	1	0.5	0	0	0.5	0	0
Lindell Wigginton mil	G	3	2.7	2	0.7	1.7	40	0	0.7	0	0.7	0.7	100	0	0	0	0	0.3	0	0
Markquis Nowell tor	G	1	4	2	0	1	0	0	0	0	2	2	100	2	2	1	0	0	0	0
Isaiah Wong ind	G	1	4	2	1	3	33.3	0	1	0	0	0	0	0	0	0	0	0	0	0
JD Davison bos	SG	8	4.9	2	0.6	1.5	41.7	0.4	0.9	42.9	0.4	0.5	75	1.3	1.3	0.1	0.1	0.3	0	0
D'Moi Hodge LAL	G	7	5.9	2	0.7	2.1	33.3	0.4	1.7	25	0.1	0.3	50	0	0.7	0.1	0.1	0.1	0	0
Daishen Nix min	SG	15	3.3	1.8	0.6	1.6	37.5	0.4	1.1	35.3	0.2	0.4	50	0.2	0.4	0.3	0	0.3	0	0
Justin Minaya por	F	34	11.2	1.8	0.6	2.2	29.7	0.4	1.4	24.5	0.1	0.3	55.6	1.6	0.6	0.3	0.3	0.3	0	0
Cody Zeller NO	C	43	7.4	1.8	0.6	1.4	41.9	0	0.1	33.3	0.5	0.9	60.5	2.6	0.9	0.2	0.1	0.4	0	0
Kessler Edwards sac	SF	54	5.1	1.7	0.6	1.5	41.5	0.4	1	38.5	0.1	0.2	55.6	0.8	0.3	0.2	0.1	0.1	0	0
Jason Preston Utah	G	7	10.1	1.7	0.9	2.7	31.6	0	0.4	0	0	0	0	2.4	2.3	0.3	0.1	0.3	0	0
Leonard Miller MIN	F	17	3.1	1.7	0.8	1.2	65	0.1	0.3	40	0.1	0.1	50	1.2	0.5	0.1	0.1	0.1	0	0
Taj Gibson ny/det	F	20	10.3	1.7	0.8	1.9	40.5	0.1	0.5	20	0.1	0.1	100	1.9	0.6	0.2	0.4	0.3	0	0
P.J. Tucker lac/phi	PF	31	15.7	1.7	0.6	1.6	36	0.4	1.1	37.1	0.1	0.1	100	2.7	0.5	0.5	0.2	0.3	0	0
Jordan Walsh bos	G	9	9.2	1.7	0.7	1.7	40	0.2	1	22.2	0.1	0.2	50	2.2	0.6	0.6	0.1	0.3	0	0
Jordan Miller LAC	G	8	3.5	1.6	0.6	1.1	55.6	0.1	0.3	50	0.3	0.3	100	0.6	0	0	0	0.1	0	0
Jalen Hood-Schifino lal	G	21	5.2	1.6	0.5	2.1	22.2	0.1	0.7	13.3	0.6	1	60	0.6	0.4	0.1	0.1	0.4	0	0
Jett Howard ORL	G	18	3.7	1.6	0.6	1.7	33.3	0.4	1.4	28	0.1	0.2	50	0.4	0.3	0.1	0.1	0.2	0	0
Josh Minott MIN	F	32	2.8	1.6	0.5	1.1	47.2	0.1	0.3	40	0.4	0.4	85.7	0.5	0.3	0.2	0.2	0.1	0	0
Jalen Pickett den	G	27	4.5	1.6	0.6	1.3	42.9	0.3	0.9	36	0.1	0.1	75	0.5	0.8	0.1	0	0.3	0	0
Seth Lundy atl	G	9	5.8	1.6	0.4	1.9	23.5	0.3	1.4	23.1	0.3	0.4	75	0.8	0	0	0	0.1	0	0
Ibou Badji por	C	22	10.3	1.5	0.6	1	63.6	0	0	0	0.3	0.5	50	2.3	0.6	0.1	0.9	0.7	0	0
Jack White mem	F	4	16	1.5	0.5	4	12.5	0.5	2.5	20	0	0	0	3	0.3	1	0.3	0.5	0	0
Colin Castleton lal	C	16	3.7	1.5	0.6	1	56.3	0	0	0	0.4	0.4	100	0.8	0.2	0.1	0	0.2	0	0
Adam Flagler okc	F	2	7	1.5	0.5	3.5	14.3	0.5	3	16.7	0	0	0	0	2	0	0	0	0	0
Dariq Whitehead BKN	F	2	12	1.5	0.5	2.5	20	0	1.5	0	0.5	1	50	2	1.5	0	0.5	0	0	0
Terry Taylor chi	F	31	6.1	1.5	0.6	1.3	51.3	0.1	0.3	22.2	0.1	0.2	80	1.2	0.3	0.2	0.1	0.2	0	0
Jacob Toppin ny	F	9	4.2	1.4	0.6	1	55.6	0.1	0.4	25	0.2	0.2	100	0.8	0.3	0	0.1	0.1	0	0
Jermaine Samuels Jr. HOU	F	14	4.3	1.4	0.6	1	64.3	0	0.1	0	0.1	0.1	100	0.9	0.2	0.1	0.1	0	0	0
Jerome Robinson GS	SG	22	3.7	1.4	0.5	1.5	33.3	0.1	0.8	11.8	0.3	0.5	63.6	0.3	0.2	0	0.1	0.1	0	0
Mason Jones sac	G	5	5.6	1.4	0.4	1.6	25	0.4	1.4	28.6	0.2	0.4	50	1	1	0.2	0	0.4	0	0
Kendall Brown ind	SG	15	4.2	1.4	0.5	1	53.3	0	0.1	0	0.3	0.5	62.5	0.3	0.3	0	0	0.1	0	0
Isaiah Thomas PHX	G	6	3.2	1.3	0.5	1.7	30	0.3	0.7	50	0	0	0	0	0.5	0	0	0	0	0
Nathan Mensah cha	C	25	12.3	1.3	0.5	1.1	42.9	0	0	0	0.4	0.5	75	2.6	0.4	0.2	0.6	0.6	0	0
TyTy Washington Jr. mil	G	11	5.1	1.3	0.5	1.8	30	0.2	0.5	33.3	0	0	0	0.5	0.5	0.3	0	0.2	0	0
R.J. Hampton mia/wsh	G	8	9.5	1.3	0.5	1.8	28.6	0.1	1	12.5	0.1	0.3	50	0.8	1	0	0	0.4	0	0
Chris Livingston mil	F	21	4.3	1.2	0.5	1	50	0	0.2	20	0.1	0.2	75	1	0.2	0.1	0	0.2	0	0
Keyontae Johnson okc	F	9	7.3	1.2	0.6	1.8	31.3	0.1	0.3	33.3	0	0	0	1.1	0.4	0.1	0	0.4	0	0
Jay Huff den	C	20	2.5	1.2	0.5	0.8	60	0.2	0.5	33.3	0.1	0.1	100	0.6	0.1	0.1	0.2	0.1	0	0
Admiral Schofield orl	SF	23	3.7	1.1	0.4	1.1	38.5	0.3	0.7	37.5	0	0.1	0	0.7	0.3	0	0	0.2	0	0
Robin Lopez mil	C	16	4.1	1.1	0.4	1.2	36.8	0.1	0.5	25	0.1	0.1	100	0.3	0.3	0.1	0.2	0.1	0	0
Hunter Tyson den	F	18	2.7	1.1	0.4	1.1	40	0.2	0.8	28.6	0	0	0	0.5	0.1	0.1	0	0.1	0	0
Braxton Key DEN	F	20	3	1.1	0.4	0.9	41.2	0.1	0.3	40	0.3	0.4	75	0.9	0.5	0.1	0.1	0.1	0	0
Hamidou Diallo WSH	G	2	2.5	1	0.5	1	50	0	0	0	0	0	0	1	0.5	1	0	0.5	0	0
Frank Ntilikina cha	PG	5	8.6	1	0.2	1.8	11.1	0.2	1.6	12.5	0.4	0.4	100	1.2	0.8	0	0	0.2	0	0
Filip Petrusev sac/phi	PF	3	3	1	0.3	0.7	50	0	0	0	0.3	0.7	50	0.3	0	0	0	0	0	0
Joshua Primo lac	G	2	5	1	0.5	1.5	33.3	0	0.5	0	0	0	0	0.5	0	0	0.5	2	0	0
Thanasis Antetokounmpo MIL	SF	34	4.6	0.9	0.5	0.9	53.3	0	0	0	0	0.1	0	0.4	0.5	0.2	0.1	0.4	0	0
James Johnson ind	PF	9	5.2	0.9	0.3	1.1	30	0	0.2	0	0.2	0.2	100	0.4	0.9	0.6	0.1	0.6	0	0
DaQuan Jeffries ny	SG	17	2.7	0.8	0.4	1	35.3	0.1	0.6	20	0	0.1	0	0.3	0.3	0	0.1	0.2	0	0
Charlie Brown Jr. NY	G	8	4.6	0.8	0.3	1.3	20	0.3	0.9	28.6	0	0	0	0.3	0	0	0.3	0.3	0	0
Wendell Moore Jr. min	G	25	3	0.7	0.4	0.7	50	0	0.2	0	0	0	0	0.5	0.2	0.2	0	0.2	0	0
Alondes Williams MIA	G	7	2.3	0.7	0.3	1.1	25	0	0.6	0	0.1	0.1	100	0.1	0	0	0.1	0.3	0	0
Shaqullle Harrison mem	G	3	2	0.7	0.3	0.7	50	0	0	0	0	0	0	0.7	0	0	0.3	0	0	0
Jalen Slawson sac	F	12	3.1	0.7	0.3	0.5	66.7	0	0.2	0	0	0	0	0.6	0.2	0.1	0.1	0.2	0	0
Pat Spencer gs	G	6	4.3	0.7	0.3	0.7	50	0	0.3	0	0	0	0	0.7	0.8	0	0	0.2	0	0
Quenton Jackson ind	G	3	3.7	0.7	0	0.3	0	0	0	0	0.7	0.7	100	1.3	0.7	0.3	0	0	0	0
Juan Toscano-Anderson sac	F	11	4.8	0.6	0.3	1.1	25	0.1	0.4	25	0	0	0	1.3	0.4	0.1	0.1	0.2	0	0
E.J. Liddell NO	F	8	2.9	0.5	0.1	0.8	16.7	0	0.6	0	0.3	0.3	100	0.6	0.1	0.3	0.3	0.3	0	0
Usman Garuba gs	PF	6	3	0.5	0.2	1	16.7	0	0.2	0	0.2	0.3	50	1.2	0.2	0.2	0.5	0.3	0	0
Pete Nance cle	F	8	3.4	0.4	0.1	0.8	16.7	0.1	0.1	100	0	0.3	0	0.4	0	0.1	0	0.1	0	0
Maxwell Lewis lal	F	34	3	0.3	0.1	0.6	19	0	0.3	11.1	0.1	0.1	66.7	0.1	0.2	0.1	0	0.3	0	0
